,a,b,c,d,e,f,g,h,i,renzhen,weibo_num,gzl,fsl
58,行者杨金辉-在路上,":【互联网+政务,政务大数据规划实施方案(ppt)】互联网+政务,政务大数据规划实施方案(ppt)",今天 09:27?来自360安全浏览器手机版,no,yes,赞[0]</a>,转发[2]</a>?<a c,评论[2]</a>?<a h,http://weibo.cn/u/3937666483,认证：数字化智能校园建设联盟主席、中国电科太极股份北方大区副总经理,微博[19093],关注[625],粉丝[2388]
59,鄂托克旗法院,:近年来，鄂托克旗法院以信息化带动高效化，将智慧法院建设目标融入审执工作的方方面面，主动作为、求新求变完成一次又一次逆袭。在“执行年”专项工作中，鄂旗法院利用多个执行办案平台定期分析执行大数据，找出差距、补齐短板，同时加大建议类简报信息报送力度，发挥“智囊团”对执行工作的预判指导作?全文,今天 09:26?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2677917573,认证：内蒙古鄂托克旗人民法院官方微博,微博[2394],关注[74],粉丝[1222]
60,注册不了烊烊烊,http://t.cn/Rf9bi7A[笑cry][笑cry][笑cry],今天 09:25?来自360安全浏览器,no,no,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3239550322,全才有品好少年，人帅心甜还有钱,微博[20401],关注[240],粉丝[368]
61,注册不了烊烊烊,http://t.cn/Rf9bi7A[笑cry][笑cry][笑cry],今天 09:25?来自360安全浏览器,no,no,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3239550322,全才有品好少年，人帅心甜还有钱,微博[20401],关注[240],粉丝[368]
62,艾力森-洪文平,【中国究竟有多少房子是空置的？】 （分享自 @凤凰网） 中国究竟有多少房子是空置的？,今天 09:25?来自iPhone 6s,no,yes,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/610458828,认证：北京艾力森中研咨询有限公司 总裁,微博[32016],关注[712],粉丝[5310]
63,慧眼大数据,:[酷][鼓掌]【贵州大数据产业风生水起 增速居中国前列】几乎每位到贵州寻求商机的海内外精英都会提及“大数据”，高通、微软、IBM、戴尔、惠普在贵州的落地让这块“钻石矿”更加耀眼。大数据产业在贵州正风生水起。作为中国首个国家大数据综合试验区，全球瞩目的贵州省大数据信息产业近年发展迅速，增?全文,今天 09:24?来自专业版微博,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/unicomeyes,认证：北京思特奇信息技术股份有限公司,微博[1754],关注[240],粉丝[397]
64,山东同圆数字科技有限公司,:【大数据时代要靠BIM+互联网】#BIM咨询##数字平台##可视化展示#据研究表明，建筑业是数据量最大、业务规模最大的大数据行业之一，但同样也是当前各行业中最没有数据的行业之一。这样的行业是典型的等待被革命的行业，但建筑业前些年一直被约25%的行业增速(与互联网产业增速相当)麻痹着，行业缺乏进取心?全文,今天 09:23?来自搜狗高速浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5091268494,认证：山东同圆数字科技有限公司,微博[619],关注[177],粉丝[324]
65,RFID世界网客户中心,:【物联网新闻】思科预测：因为物联网和大数据，我们所做的事情有92%将会在云端进行http://t.cn/Rf9tzLZ,今天 09:23?来自360安全浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5270831750,RFID世界网是国内最大的面向RFID行业的综合行业门户网站。,微博[14056],关注[363],粉丝[1134]
66,东方领航教育集团,:【热烈祝贺东方领航与盐城大数据产业园正式签约合作】2016年11月22日，东方领航教育集团与盐城大数据产业园正式达成人才培养计划合作协议。协议签订后，集团将在未来每年为产业园企业输送大量所需人才。集团副总裁张忠华女士，事业四部副总裁李磊出席了签约仪式。,今天 09:21?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/chinaneg,认证：东方领航教育集团官方微博,微博[6659],关注[752],粉丝[2115]
67,深圳市互联网学会,:世卫组织总干事陈冯富珍在谈及创新改善健康时指出，目前大数据还没有实现很好的采集、使用和分析，医院之间的围墙还没有打破，数据还没有共享，各自为战现象严重，“左手跟右手不能沟通”。 http://t.cn/Rf95ezC,今天 09:21?来自微博 weibo.com,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3865322846,认证：深圳市互联网学会,微博[16045],关注[1999],粉丝[16741]
68,演绎H小角色,:中国健康大数据调查:  高血压人数:2.5亿人    ~ 糖尿病人数:9700万人～    肥胖病人数:7000万人~  血脂异常人数:1.6亿人~脂肪肝人数:2.1亿人          健康之重，锻炼才是健康的稳固基石！          让辛苦的白衣天使，放放假了！          预约小伟热线:15887495569～佰嘉健身小伟再等你们哦！ ?全文,今天 09:20?来自HUAWEI Mate 8,no,no,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2987895335,生活的磨难把我打入底谷，是让我们蹲下来看看，同样也给了我们...,微博[189],关注[443],粉丝[98]
69,风中摇曳草,:南京市促进大数据发展三年行动计划（全文） 南京市促进大数据发展三年行动计划（全文）,今天 09:20?来自iOS,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1405064074,三省其身，勿急，勿躁，勿慌,微博[1945],关注[464],粉丝[90]
70,慧眼大数据,:[给力][good]【大数据构建互联网神经网络 护航民生安全】“民生”一词最早出现在《左传·宣公十二年》，所谓“民生在勤，勤则不匮”。 勤，最通俗的解释在于“尽力多做，不断地做。”《辞海》中对于“民生”的解释是“人民的生计”，百姓的生活来源和衣食住行问题。今天，在大数据时代，我们认为“勤”?全文,今天 09:19?来自专业版微博,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/unicomeyes,认证：北京思特奇信息技术股份有限公司,微博[1754],关注[240],粉丝[397]
71,慧眼大数据,:[威武][围观]【把大数据关到笼子里】这两年随着“大数据”的方兴未艾，一些倒卖公民个人信息的违法行为，却堂而皇之地冠上了“大数据”“数据驱动营销”“用户画像”的高科技名头。这是浑水摸鱼，也篡改了“大数据”的本义。【社论】把大数据关到笼子里,今天 09:18?来自专业版微博,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/unicomeyes,认证：北京思特奇信息技术股份有限公司,微博[1754],关注[240],粉丝[397]
72,华东江苏大数据交易中心,:#华东快讯#【三亚将建智慧旅游大数据应用平台 实时提供旅游信息】动动手指，庞杂的旅游大数据将直接进行分析计算，实现城市建设、旅游管理的“智慧化”。记者11月21日从三亚市有关部门获悉，三亚将建智慧旅游大数据应用平台，将大数据应用融入政府决策管理、城市治理、改善民生等领域，推动大数据产业?全文,今天 09:17?来自微博 weibo.com,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bigdatahd,认证：华东江苏大数据交易中心官方微博,微博[1880],关注[122],粉丝[550]
73,日经中文网,:【西门子在物联网领域携手微软】西门子计划从2017年起将其主要用于对工业设备收集的大数据进行分析的平台提供给微软云服务……西门子在物联网领域携手微软,今天 09:17?来自未通过审核应用,no,yes,赞[3]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2478163131,认证：日经中文网官方微博,微博[26518],关注[119],粉丝[104859]
74,股先生财经,:#ST股摘帽#25只ST股或将摘帽       又到年度业绩公布之际，一些有摘帽概念的ST个股将受到市场追捧。证券时报股市大数据新媒体“数据宝”统计，25只ST股年度预盈或者前三季度已经实现盈利，并且每股净资产为正，这些个股有摘帽可能。*ST蓝丰、*ST创疗、*ST人乐等个股年度预盈，*ST川化、*ST神火、*ST百?全文,今天 09:16?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5895178868,认证：成都市股先生网络信息技术有限公司,微博[372],关注[193],粉丝[197]
75,淘股神,:财经大数据：接连失守5大关口！离岸人民币跌破6.95大关_淘股神 http://t.cn/Rf95p0M,今天 09:16?来自JiaThis分享按钮,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/taogushen,认证：深圳前海韦恩互联网金融服务有限公司,微博[1270],关注[258],粉丝[17982]
76,iam林涛,【你的企业离数据驱动业务还有多远？】如果你的企业只有进销存的数据千万别提大数据驱动，丢人。进销存的数据再大，哪怕你开到10万+门店，也只是小数据。你连消费者的行为数据都没有，连一个简单的消费者画像都做不出来，谈什么大数据？#原创打赏节# 你的企业离数据驱动业务还有多远？,今天 09:15?来自iPhone SE,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/zuiw,认证：北京七七八八科技有限公司 技术总监,微博[3137],关注[487],粉丝[903]
77,流媒体网官方微博,:#大数据培训班# 开班在即！ 本届培训班更关注数据价值挖掘的实操和执行，在三天的培训时间内，上海电信、华数传媒的大数据行业专家将分享上海电信和华数这两大电信和广电代表在大数据建设和运营过程中的实际经验，传授其在大数据平台规划、建设、运营、变现、用户画像过程中的心得和案例，同时也会就广?全文,今天 09:15?来自微博 weibo.com,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/lmtwiptv,认证：流媒体网官方微博,微博[6257],关注[553],粉丝[4652]
78,浪潮大数据,:【大数据看火锅：在济南，历下区火锅受热捧】据浪潮大数据监测，历下区火锅受热捧，在济南火锅累计销售额居首，占比24.3%，其次是章丘（18.2%）、天桥区（13.5%）、历城区（12.2%）、市中区（10.3%）、长清区（9.4%）、高新区（6.1%）、槐荫区（2.7%）、济阳（1.5%）、平阴（1.1%）、商河（0.7%）。,今天 09:15?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5144362128,认证：浪潮软件集团有限公司,微博[1230],关注[60],粉丝[261]
79,长犄角的橙子皮,:从菜鸟到老司机，数据科学的 17 个必用数据集推荐 | 36大数据 http://t.cn/Rf95STa,今天 09:14?来自百度分享,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/xjz333,艰苦奋斗中,微博[292],关注[114],粉丝[30]
80,慧眼大数据,:[带着微博去旅行][鼓掌]【南航率先加入综合交通出行大数据开放云平台】中国南方航空公司宣布，将率先加入交通运输部“综合交通运输出行大数据开放云平台”项目。　　南航是首个加入国家综合交通运输出行大数据开放云平台的航空企业。南航率先加入综合交通出行大数据开放云平台,今天 09:14?来自专业版微博,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/unicomeyes,认证：北京思特奇信息技术股份有限公司,微博[1754],关注[240],粉丝[397]
81,华东江苏大数据交易中心,:【大数据深刻改变经济格局】近日，2016全球大数据应用研究论坛在青岛西海岸新区举行，来自国内外的600余位专家学者、行业精英围绕大数据应用与研究、大数据与产业融合之道展开深入探索，挖掘大数据行业发展的未来机遇。（分享自 @网易新闻） 大数据深刻改变经济格局,今天 09:14?来自网易新闻,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bigdatahd,认证：华东江苏大数据交易中心官方微博,微博[1880],关注[122],粉丝[550]
82,AMAX中国,:想利用大数据走向巅峰 在那之前这些你必须了解想利用大数据走向巅峰 在那之前这些你必须了解,今天 09:13?来自搜狗高速浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/amaxit,认证：苏州超集信息科技有限公司,微博[3559],关注[470],粉丝[5378]
83,慧眼大数据,:[嘻嘻][抱抱_旧]【深圳发布促进大数据发展3年行动计划 大数据开放平台计划后年底建成】大数据正深刻影响和改变着我们的工作和生活。利用大数据优化配置学校、医院、社康中心；构建信息化监管模式，减少执法资源的无效投入和浪费；运用大数据对食品药品安全进行监测，及时发布风险预警研判……《深圳市?全文,今天 09:12?来自专业版微博,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/unicomeyes,认证：北京思特奇信息技术股份有限公司,微博[1754],关注[240],粉丝[397]
84,华东江苏大数据交易中心,:#漫谈大数据#【《生活大数据》：用数字说新闻】大数据时代，新闻能不能也用大数据来做？广东广播电视台试图回答这一问题。《新闻大数据》在广东广播电视台新闻频道播出3个月之后，升级版《生活大数据》登陆广东卫视，将这一全新的新闻节目形式带到了全国观众面前。“这不是一档传统的新闻栏目，而是一?全文,今天 09:10?来自微博 weibo.com,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bigdatahd,认证：华东江苏大数据交易中心官方微博,微博[1880],关注[122],粉丝[550]
85,经济新视界,:大数据告诉我们，“中国或成最大赢家”以85400:64500完胜“中国或成最大输家”！,今天 09:10?来自专业版微博,no,no,赞[1]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/NEWSIGHTS,清末袁世凯欲加快立宪否则不知真立宪之时我大清还在不在结果醇...,微博[705],关注[252],粉丝[2074]
86,天翼开放平台,:#开发助手#【图计算系统新生】类似Hadoop/Spark大数据框架通MapReduce接口函数去实现分布式集群处理任务，图计算使用“think like a vertex”去抽象表达图挖掘机器学习算法，使得数据挖掘任务可以变为编写顶点程序完成。目前VENUS图计算系统在华为应用市场中分析用户日志数据，支撑广告推荐。?全文,今天 09:10?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/ctcopen,认证：天翼开放平台官方微博,微博[3817],关注[554],粉丝[72685]
87,百家财富网,黑龙江省容维证券数据程序化有限公司历时数月，在技术团队努力攻坚、通力协作下，一项填补国内投资界空白的大数据应用数据化新产品“未来K线”已经开发完成并完成内测。现宣布公司未来K线新产品从2016年11月11日起正式对外提供数据服务。http://t.cn/Rfq2AQ8,今天 09:08?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/donghaichuan,认证：黑龙江省容维证券数据程序化有限公司,微博[6580],关注[1204],粉丝[3266]
